 a52dec, Library for decoding ATSC A/52 (AC-3) audio streams
 aalib, ASCII art graphic library
 abseil-cpp, Collection of C++ library code designed to augment the C++ standard library
 accounts-qml-module, Expose the Online Accounts API to QML applications
 acl, Access control list utilities libraries and headers
 ada, WHATWG-compliant and fast URL parser written in modern C++
 adobe-source-code-pro-fonts, Monospaced font family for user interface and coding environments
 adwaita-cursors, GNOME standard cursors
 adwaita-icon-theme, GNOME standard icons
 adwaita-icon-theme-legacy, GNOME fallback icons for legacy apps
 alacritty, A cross-platform GPU-accelerated terminal emulator
 alsa-card-profiles, Low-latency audio/video router and processor - ALSA card profiles
 alsa-lib, An alternative implementation of Linux sound support
 alsa-topology-conf, ALSA topology configuration files
 alsa-ucm-conf, ALSA Use Case Manager configuration (and topologies)
 alsa-utils, Advanced Linux Sound Architecture - Utilities
 alttab, The task switcher for minimalistic window managers or standalone X11 session
 android-file-transfer, Android MTP client with minimalistic UI
 android-udev, Udev rules to connect Android devices to your linux box
 aom, Alliance for Open Media video codec
 apache, A high performance Unix-based HTTP server
 appstream, Provides a standard for creating app stores across distributions
 apr, The Apache Portable Runtime
 apr-util, The Apache Portable Runtime
 arandr, Provide a simple visual front end for XRandR 1.2.
 arc-gtk-theme, A flat theme with transparent elements for GTK 234 and Gnome-Shell
 arch-install-scripts, Scripts to aid in installing Arch Linux
 archlinux-keyring, Arch Linux PGP keyring
 argon2, A password-hashing function (reference C implementation)
 aria2, Download utility that supports HTTP(S) FTP BitTorrent and Metalink
 aribb24, Library for ARIB STD-B24 decoding JIS 8 bit characters and parsing MPEG-TS stream
 asciidoc, Text document format for short documents articles books and UNIX man pages
 asciidoctor, An implementation of AsciiDoc in Ruby
 at-spi2-core, Protocol definitions and daemon for D-Bus at-spi
 atkmm, C++ bindings for ATK
 attica, Qt library that implements the Open Collaboration Services API
 attr, Extended attribute support library for ACL support
 audiofile, Silicon Graphics Audio File Library
 audit, Userspace components of the audit framework
 autoconf, A GNU tool for automatically configuring source code
 autoconf-archive, A collection of freely re-usable Autoconf macros
 automake, A GNU tool for automatically creating Makefiles
 avahi, Service Discovery for Linux using mDNS/DNS-SD (compatible with Bonjour)
 awesome-git, Highly configurable framework window manager
 babl, Dynamic any to any pixel format conversion library
 baloo, A framework for searching and managing metadata
 baloo-widgets, Widgets for Baloo
 base, Minimal package set to define a basic Arch Linux installation
 base-devel, Basic tools to build Arch Linux packages
 bash, The GNU Bourne Again shell
 bat, Cat clone with syntax highlighting and git integration
 bc, An arbitrary precision calculator language
 bcprov, Bouncy Castle Crypto APIs for Java
 binutils, A set of programs to assemble and manipulate binary and object files
 bison, The GNU general-purpose parser generator
 blas, Basic Linear Algebra Subprograms
 bluez-libs, Deprecated libraries for the bluetooth protocol stack
 boost-libs, Free peer-reviewed portable C++ source libraries (runtime libraries)
 box2d, 2D rigid body simulation library for games
 brave-bin, Web browser that blocks ads and trackers by default (binary release)
 breeze-icons, Breeze icon theme
 bridge-utils, Utilities for configuring the Linux ethernet bridge
 brightnessctl, Lightweight brightness control tool
 brotli, Generic-purpose lossless compression algorithm
 bubblewrap, Unprivileged sandboxing tool
 bzip2, A high-quality data compression program
 c-ares, A C library for asynchronous DNS requests
 ca-certificates, Common CA certificates - default providers
 ca-certificates-mozilla, Mozilla's set of trusted CA certificates
 ca-certificates-utils, Common CA certificates (utilities)
 cairo, 2D graphics library with support for multiple output devices
 cairomm, C++ bindings for Cairo
 cairomm-1.16, C++ bindings for Cairo
 cantarell-fonts, Humanist sans serif font
 cblas, C interface to BLAS
 cdparanoia, Compact Disc Digital Audio extraction tool
 cfitsio, A library of C and Fortran subroutines for reading and writing data files in FITS (Flexible Image Transport System) data format
 cheat-bin, cheat allows you to create and view interactive cheatsheets on the command-line
 chromaprint, Library for extracting fingerprints from any audio source
 chromedriver, Standalone server that implements the W3C WebDriver standard (for google-chrome)
 cifs-utils, CIFS filesystem user-space tools
 clang, C language family frontend for LLVM
 cloog, Library that generates loops for scanning polyhedra
 clucene, C++ port of the high-performance text search engine Lucene
 cmake, A cross-platform open-source make system
 code, The Open Source build of Visual Studio Code (vscode) editor
 colord, System daemon for managing color devices
 compiler-rt, Compiler runtime libraries for clang
 containerd, An open and reliable container runtime
 convertlit, An extractor/converter for .LIT eBooks
 coreutils, The basic file shell and text manipulation utilities of the GNU operating system
 cppdap, C++ library for the Debug Adapter Protocol
 cryptsetup, Userspace setup tool for transparent encryption of block devices using dm-crypt
 cups, OpenPrinting CUPS - daemon package
 cups-filters, OpenPrinting CUPS Filters
 cups-pdf, PDF printer for cups
 curl, command line tool and library for transferring data with URLs
 dav1d, AV1 cross-platform decoder focused on speed and correctness
 db5.3, The Berkeley DB embedded database system v5.3
 dbeaver-git, Free universal SQL Client for developers and database administrators. Community Edition. Git version.
 dbus, Freedesktop.org message bus system
 dbus-broker, Linux D-Bus Message Broker
 dbus-broker-units, Linux D-Bus Message Broker - Service units
 dbus-glib, GLib bindings for D-Bus (deprecated)
 dconf, Configuration database system
 debugedit, Tool to mangle source locations in .debug files
 default-cursors, Default cursor set
 dejagnu, Framework for testing other programs
 desktop-file-utils, Command line utilities for working with desktop entries
 device-mapper, Device mapper userspace library and tools
 dex, Program to generate and execute DesktopEntry files of type Application
 dialog, A tool to display dialog boxes from shell scripts
 diffutils, Utility programs used for creating patch files
 ding-libs, "DING is not GNU" helper libraries for SSSD and FreeIPA
 djvulibre, Library and utilities to create manipulate and view DjVu (déjà vu) documents
 docbook-xml, A widely used XML scheme for writing documentation and help
 docbook-xsl, XML stylesheets for Docbook-xml transformations
 docker, Pack ship and run any application as a lightweight container
 docker-compose, Fast isolated development environments using Docker
 dosfstools, DOS filesystem utilities
 double-conversion, Binary-decimal and decimal-binary routines for IEEE doubles
 doxygen, Documentation system for C++ C Java IDL and PHP
 dropbox, A free service that lets you bring your photos docs and videos anywhere and share them easily.
 ds9-bin, SAOImage DS9: Astronomical Data Visualization Application
 duktape, Embeddable Javascript engine
 dunst, Customizable and lightweight notification-daemon
 dvisvgm, A fast DVI EPS and PDF to SVG converter
 e2fsprogs, Ext2/3/4 filesystem utilities
 ebook-tools, Tools for accessing and converting various ebook file formats
 efibootmgr, Linux user-space application to modify the EFI Boot Manager
 efivar, Tools and libraries to work with EFI variables
 electron28, Build cross platform desktop apps with web technologies
 electron29, Build cross platform desktop apps with web technologies
 electron30, Build cross platform desktop apps with web technologies
 elementary-icon-theme, Named vector icons for elementary OS
 elfutils, Handle ELF object files and DWARF debugging information (utilities)
 enchant, A wrapper library for generic spell checking
 erfa, Essential Routines for Fundamental Astronomy
 evince, Document viewer (PDF PostScript XPS djvu dvi tiff cbr cbz cb7 cbt)
 evtest, Input device event monitor and query tool
 exiv2, Exif Iptc and XMP metadata manipulation library and tools
 exo, Application library for the Xfce desktop environment
 expat, An XML parser library
 expect, A tool for automating interactive applications
 faad2, Freeware Advanced Audio (AAC) Decoder
 fakeroot, Tool for simulating superuser privileges
 ffcall, C library for implementing foreign function calls in embedded interpreters
 ffmpeg, Complete solution to record convert and stream audio and video
 ffmpeg4.4, Complete solution to record convert and stream audio and video
 ffmpegthumbnailer, Lightweight video thumbnailer that can be used by file managers
 ffmpegthumbnailer-mp3, A very simple integration of ffmpeg to generate thumbnails from mp3(audio/mpeg) files
 fftw, A library for computing the discrete Fourier transform (DFT)
 file, File type identification utility
 file-roller, Create and modify archives
 filesystem, Base Arch Linux files
 findutils, GNU utilities to locate files
 firefox, Fast Private & Safe Web Browser
 flac, Free Lossless Audio Codec
 flex, A tool for generating text-scanning programs
 fluidsynth, A real-time software synthesizer based on the SoundFont 2 specifications
 fmt, Open-source formatting library for C++
 fontconfig, Library for configuring and customizing font access
 freeglut, Free OpenGL Utility Toolkit
 freetype2, Font rasterization library
 frei0r-plugins, Collection of video effect plugins
 fribidi, A Free Implementation of the Unicode Bidirectional Algorithm
 fuse-common, Common files for fuse2/3 packages
 fuse2, Interface for userspace programs to export a filesystem to the Linux kernel
 fuse3, Interface for userspace programs to export a filesystem to the Linux kernel
 fzf, Command-line fuzzy finder
 garcon, Freedesktop.org compliant menu library
 gawk, GNU version of awk
 gc, A garbage collector for C and C++
 gcc, The GNU Compiler Collection - C and C++ frontends
 gcc-fortran, Fortran front-end for GCC
 gcc-libs, Runtime libraries shipped by GCC
 gcc13, The GNU Compiler Collection - C and C++ frontends (13.x.x)
 gcc13-fortran, Fortran front-end for GCC (13.x.x)
 gcc13-libs, Runtime libraries shipped by GCC (13.x.x)
 gcc48, The GNU Compiler Collection - C and C++ frontends (4.8.x)
 gcc48-debug, Detached debugging symbols for gcc48
 gcr-4, A library for bits of crypto UI and parsing
 gd, Library for the dynamic creation of images by programmers
 gdbm, GNU database library
 gdk-pixbuf2, An image loading library
 geany, Fast and lightweight IDE
 gegl, Graph based image processing framework
 gendesk, Utility for generating desktop files by specifying a minimum of information
 geoclue, Modular geoinformation service built on the D-Bus messaging system
 gettext, GNU internationalization library
 ghostscript, An interpreter for the PostScript language
 giflib, Library for reading and writing gif images
 gimp, GNU Image Manipulation Program
 girara, User interface library focused on simplicity and minimalism
 git, the fast distributed version control system
 glew, The OpenGL Extension Wrangler Library
 glib-networking, Network extensions for GLib
 glib2, Low level core library
 glib2-devel, Low level core library - development files
 glibc, GNU C Library
 glibmm, C++ bindings for GLib
 glibmm-2.68, C++ bindings for GLib
 glslang, OpenGL and OpenGL ES shader front end and validator
 glu, Mesa OpenGL utility library
 gmp, A free library for arbitrary precision arithmetic
